DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Version
2012-01-06T07:04:16.540+00:00,-43.508,172.825,11.3,4.3,mb,33,154,,,pde,pde20120106070416540_11,1363392497613
2012-01-06T08:08:40.460+00:00,-38.024,-75.091,29.8,5.0,mb,191,51,,0.71,pde,pde20120106080840460_29,1363392497633
2012-01-06T10:52:07.400+00:00,16.040,-94.821,21.7,4.0,md,7,156,,,pde,pde20120106105207400_21,1363392497660
2012-01-06T12:21:37.130+00:00,-43.510,172.822,8.5,4.8,mwr,142,49,,,pde,pde20120106122137130_8,1363392497693
2012-01-06T13:01:33.490+00:00,-5.321,152.534,35.0,4.7,mb,34,96,,1.05,pde,pde20120106130133490_35,1363392497758
2012-01-06T13:24:44.780+00:00,12.002,143.670,35.0,4.0,mb,21,132,,0.84,pde,pde20120106132444780_35,1363392497825
2012-01-06T13:24:48.020+00:00,52.406,-173.385,141.9,4.4,mb,57,162,,,pde,pde20120106132448020_141,1363392497827
2012-01-06T13:27:30.300+00:00,14.413,-93.910,21.4,4.0,md,4,275,,,pde,pde20120106132730300_21,1363392497833
2012-01-06T17:11:10.860+00:00,25.431,-109.565,10.0,4.1,mb,76,122,,1.20,pde,pde20120106171110860_10,1363392497841
2012-01-06T17:42:42.650+00:00,52.010,-170.108,41.0,4.5,mb,118,74,,,pde,pde20120106174242650_41,1363392497855
2012-01-06T18:06:41.000+00:00,51.847,-170.032,28.0,4.6,mb,204,68,,,pde,pde20120106180641000_28,1363392497936
2012-01-06T18:54:39.310+00:00,-6.341,-107.312,10.0,5.5,mwc,216,83,,0.96,pde,pde20120106185439310_10,1363392497964
2012-01-06T18:58:08.570+00:00,38.767,70.592,46.3,4.2,mb,45,72,,1.35,pde,pde20120106185808570_46,1363392498032
2012-01-06T19:04:03.970+00:00,26.944,143.559,11.6,5.0,mb,113,48,,0.98,pde,pde20120106190403970_11,1363392498070
2012-01-06T19:19:44.800+00:00,-8.380,124.858,61.4,4.3,mb,20,78,,1.48,pde,pde20120106191944800_61,1363392498097
2012-01-06T20:35:13.860+00:00,36.195,29.061,56.5,4.5,mb,77,93,,0.82,pde,pde20120106203513860_56,1363392498156
2012-01-06T23:37:45.470+00:00,59.852,-153.232,136.1,5.0,mb,259,52,,,pde,pde20120106233745470_136,1363392498224
2012-01-07T00:32:20.380+00:00,-8.312,121.518,13.7,4.9,mb,65,59,,0.98,pde,pde20120107003220380_13,1363392498263
2012-01-07T00:39:41.510+00:00,-4.427,121.720,35.0,4.5,mb,24,87,,1.46,pde,pde20120107003941510_35,1363392498302
2012-01-07T00:43:09.660+00:00,-8.844,130.390,35.0,4.1,mb,14,112,,1.31,pde,pde20120107004309660_35,1363392498305
2012-01-07T01:02:00.540+00:00,-43.515,172.791,8.7,4.5,ml,81,161,,,pde,pde20120107010200540_8,1363392498307
2012-01-07T01:52:31.990+00:00,-6.511,-107.571,10.0,4.3,mb,32,118,,0.88,pde,pde20120107015231990_10,1363392498386
2012-01-07T02:34:10.920+00:00,28.743,105.069,48.3,4.2,mb,20,68,,1.41,pde,pde20120107023410920_48,1363392498399
2012-01-07T03:21:27.440+00:00,-3.752,138.055,104.8,5.0,mb,111,39,,0.82,pde,pde20120107032127440_104,1363392498404
2012-01-07T03:49:09.800+00:00,15.668,-92.620,184.7,4.1,md,8,245,,,pde,pde20120107034909800_184,1363392498421
2012-01-07T04:30:31.080+00:00,-4.329,152.594,108.1,5.0,mb,132,20,,0.87,pde,pde20120107043031080_108,1363392498424
2012-01-07T04:44:56.260+00:00,-10.794,165.997,50.3,4.8,mb,48,82,,1.25,pde,pde20120107044456260_50,1363392498555
2012-01-07T05:16:35.300+00:00,16.440,-93.105,227.9,4.2,md,5,191,,,pde,pde20120107051635300_227,1363392498566
2012-01-07T06:14:52.200+00:00,-3.618,151.579,10.0,4.3,mb,20,109,,1.39,pde,pde20120107061452200_10,1363392498568
2012-01-07T06:54:28.020+00:00,12.251,144.670,51.0,4.7,mb,52,60,,0.96,pde,pde20120107065428020_51,1363392498582
2012-01-07T07:06:47.620+00:00,-10.752,165.706,79.8,4.9,mb,127,29,,0.79,pde,pde20120107070647620_79,1363392498649
2012-01-07T07:31:42.700+00:00,1.705,127.475,114.8,5.4,mww,299,22,,0.76,pde,pde20120107073142700_114,1363392498664
2012-01-07T08:00:36.000+00:00,-17.774,-173.325,35.0,4.7,mb,51,77,,0.97,pde,pde20120107080036000_35,1363392498944
